=================================================================
ROSMOD::DEBUG::1468960586165178::init_timer_operation, 1468960586.161234141, 1468960586.162266141, 1468960586.164929724, 0.003695583, 1.000000000
ROSMOD::DEBUG::1468960586262102::userInputTimer_operation, 1468960586.260994516, 1468960586.261292682, 1468960586.262004099, 0.001009583, 10.000000000
ROSMOD::DEBUG::1468960586362489::userInputTimer_operation, 1468960586.360967641, 1468960586.361319849, 1468960586.362358224, 0.001390583, 10.000000000
ROSMOD::DEBUG::1468960586461900::userInputTimer_operation, 1468960586.460383099, 1468960586.460723307, 1468960586.461769016, 0.001385917, 10.000000000
ROSMOD::DEBUG::1468960586562203::userInputTimer_operation, 1468960586.560780224, 1468960586.561159932, 1468960586.562072724, 0.001292500, 10.000000000
ROSMOD::DEBUG::1468960586661483::userInputTimer_operation, 1468960586.659947807, 1468960586.660299974, 1468960586.661351057, 0.001403250, 10.000000000
ROSMOD::DEBUG::1468960586763087::userInputTimer_operation, 1468960586.760529349, 1468960586.761123557, 1468960586.762880932, 0.002351583, 10.000000000
ROSMOD::DEBUG::1468960586863225::userInputTimer_operation, 1468960586.860555391, 1468960586.861206391, 1468960586.863022599, 0.002467208, 10.000000000
ROSMOD::DEBUG::1468960586963235::userInputTimer_operation, 1468960586.960711141, 1468960586.961333182, 1468960586.963040474, 0.002329333, 10.000000000
ROSMOD::DEBUG::1468960587063349::userInputTimer_operation, 1468960587.060732057, 1468960587.061393516, 1468960587.063146391, 0.002414334, 10.000000000
ROSMOD::DEBUG::1468960587163359::userInputTimer_operation, 1468960587.160785057, 1468960587.161368724, 1468960587.163156224, 0.002371167, 10.000000000
ROSMOD::DEBUG::1468960587263424::userInputTimer_operation, 1468960587.260747891, 1468960587.261338224, 1468960587.263226099, 0.002478208, 10.000000000
ROSMOD::DEBUG::1468960587363433::userInputTimer_operation, 1468960587.360919724, 1468960587.361504849, 1468960587.363230141, 0.002310417, 10.000000000
ROSMOD::DEBUG::1468960587463550::userInputTimer_operation, 1468960587.460946224, 1468960587.461608016, 1468960587.463225808, 0.002279584, 10.000000000
ROSMOD::DEBUG::1468960587563538::userInputTimer_operation, 1468960587.560924766, 1468960587.561576849, 1468960587.563337516, 0.002412750, 10.000000000
ROSMOD::DEBUG::1468960587663553::userInputTimer_operation, 1468960587.660911058, 1468960587.661479599, 1468960587.663355474, 0.002444416, 10.000000000
ROSMOD::DEBUG::1468960587763590::userInputTimer_operation, 1468960587.760931891, 1468960587.761565683, 1468960587.763388808, 0.002456917, 10.000000000
ROSMOD::DEBUG::1468960587863581::userInputTimer_operation, 1468960587.861070433, 1468960587.861652349, 1468960587.863381849, 0.002311416, 10.000000000
ROSMOD::DEBUG::1468960587963781::userInputTimer_operation, 1468960587.961091391, 1468960587.961798641, 1468960587.963570766, 0.002479375, 10.000000000
ROSMOD::DEBUG::1468960588063866::userInputTimer_operation, 1468960588.061217516, 1468960588.061794308, 1468960588.063665058, 0.002447542, 10.000000000
ROSMOD::DEBUG::1468960588162561::userInputTimer_operation, 1468960588.160040891, 1468960588.160726641, 1468960588.162358933, 0.002318042, 10.000000000
ROSMOD::DEBUG::1468960588263664::userInputTimer_operation, 1468960588.261071016, 1468960588.261654224, 1468960588.263461641, 0.002390625, 10.000000000
ROSMOD::DEBUG::1468960588362755::userInputTimer_operation, 1468960588.360052849, 1468960588.360657683, 1468960588.362553058, 0.002500209, 10.000000000
ROSMOD::DEBUG::1468960588462585::userInputTimer_operation, 1468960588.459995183, 1468960588.460583683, 1468960588.462385099, 0.002389916, 10.000000000
ROSMOD::DEBUG::1468960588563888::userInputTimer_operation, 1468960588.561123974, 1468960588.561867099, 1468960588.563687724, 0.002563750, 10.000000000
ROSMOD::DEBUG::1468960588662748::userInputTimer_operation, 1468960588.660070891, 1468960588.660769891, 1468960588.662411099, 0.002340208, 10.000000000
ROSMOD::DEBUG::1468960588763824::userInputTimer_operation, 1468960588.761174516, 1468960588.761883974, 1468960588.763619183, 0.002444667, 10.000000000
ROSMOD::DEBUG::1468960588863104::userInputTimer_operation, 1468960588.860494433, 1468960588.861068349, 1468960588.862907058, 0.002412625, 10.000000000
ROSMOD::DEBUG::1468960588963590::userInputTimer_operation, 1468960588.960596641, 1468960588.961383933, 1468960588.963258599, 0.002661958, 10.000000000
ROSMOD::DEBUG::1468960589063632::userInputTimer_operation, 1468960589.060968808, 1468960589.061656891, 1468960589.063430641, 0.002461833, 10.000000000
ROSMOD::DEBUG::1468960589163621::userInputTimer_operation, 1468960589.161041683, 1468960589.161620058, 1468960589.163420224, 0.002378541, 10.000000000
ROSMOD::DEBUG::1468960589263574::userInputTimer_operation, 1468960589.260994433, 1468960589.261574266, 1468960589.263373016, 0.002378583, 10.000000000
ROSMOD::DEBUG::1468960589363592::userInputTimer_operation, 1468960589.361041391, 1468960589.361674058, 1468960589.363397641, 0.002356250, 10.000000000
ROSMOD::DEBUG::1468960589463788::userInputTimer_operation, 1468960589.461093558, 1468960589.461749016, 1468960589.463590474, 0.002496916, 10.000000000
ROSMOD::DEBUG::1468960589563769::userInputTimer_operation, 1468960589.561217766, 1468960589.561792599, 1468960589.563573808, 0.002356042, 10.000000000
ROSMOD::DEBUG::1468960589663759::userInputTimer_operation, 1468960589.661178974, 1468960589.661765308, 1468960589.663562808, 0.002383834, 10.000000000
ROSMOD::DEBUG::1468960589762811::userInputTimer_operation, 1468960589.760034933, 1468960589.760779808, 1468960589.762610516, 0.002575583, 10.000000000
